combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,3,2,0.4423,0.346,0.8702,0.867,0.8709,0.8677,0.8713,True
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,3,3,0.3173,0.3829,0.8617,0.8573,0.8566,0.8564,0.8609,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,3,4,0.2198,0.4078,0.8636,0.862,0.8667,0.8619,0.8648,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,3,5,0.1486,0.5372,0.8457,0.843,0.838,0.8398,0.8445,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,4,1,0.8436,0.5118,0.791,0.8019,0.8012,0.7894,0.7907,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,4,2,0.4274,0.4296,0.8315,0.8279,0.8283,0.8265,0.8302,True
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,4,3,0.3078,0.4981,0.8173,0.8161,0.8101,0.8118,0.8157,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,4,4,0.2204,0.5167,0.8277,0.8247,0.8237,0.8241,0.8275,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,4,5,0.1571,0.5795,0.839,0.8345,0.8364,0.835,0.8386,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,5,1,0.8453,0.4705,0.8183,0.8149,0.8182,0.8149,0.819,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,5,2,0.4178,0.4445,0.8333,0.8362,0.8362,0.8316,0.8358,True
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,5,3,0.3078,0.5329,0.8277,0.825,0.8208,0.8223,0.8273,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,5,4,0.2106,0.5682,0.8126,0.8116,0.8096,0.8083,0.8145,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,5,5,0.1359,0.7071,0.823,0.8198,0.8203,0.8193,0.8239,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,1,1,0.814,0.4493,0.8241,0.8236,0.8272,0.8208,0.8246,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,1,2,0.4481,0.3965,0.8504,0.8452,0.8472,0.846,0.8504,True
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,1,3,0.3107,0.4062,0.8495,0.8473,0.8518,0.8469,0.8506,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,1,4,0.2235,0.421,0.8551,0.8511,0.8529,0.8519,0.8553,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,1,5,0.1504,0.5227,0.8664,0.8622,0.865,0.8632,0.8661,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,2,1,0.8377,0.4899,0.809,0.8158,0.8145,0.8057,0.8091,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,2,2,0.4399,0.3688,0.8627,0.8595,0.8633,0.8595,0.8628,True
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,2,3,0.3066,0.3769,0.8598,0.8563,0.8605,0.8568,0.8603,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,2,4,0.2154,0.4189,0.8561,0.8539,0.8524,0.853,0.8562,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,2,5,0.1307,0.4983,0.8598,0.8563,0.8566,0.8562,0.8595,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,3,1,0.8124,0.4266,0.8335,0.835,0.835,0.8319,0.8349,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,3,2,0.4211,0.3523,0.8683,0.8646,0.8681,0.8654,0.8694,True
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,3,3,0.3086,0.3669,0.8598,0.8561,0.8598,0.8569,0.8609,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,3,4,0.2083,0.415,0.8617,0.8595,0.8642,0.8595,0.8628,False
