combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
9,lb=3e-05_lc=1e-04_bs=16,S1,3,1,0.3864,0.842,0.8375,0.8374,0.8352,0.8403
9,lb=3e-05_lc=1e-04_bs=16,S1,4,2,0.5198,0.8239,0.8216,0.8163,0.818,0.8226
9,lb=3e-05_lc=1e-04_bs=16,S1,5,2,0.4925,0.8305,0.8315,0.8353,0.8289,0.832
10,lb=3e-05_lc=1e-04_bs=32,S1,1,1,0.398,0.8401,0.835,0.8373,0.8346,0.8389
10,lb=3e-05_lc=1e-04_bs=32,S1,2,1,0.3992,0.8476,0.8477,0.8529,0.8463,0.8485
10,lb=3e-05_lc=1e-04_bs=32,S1,3,2,0.3533,0.8655,0.8623,0.863,0.8603,0.8648
10,lb=3e-05_lc=1e-04_bs=32,S1,4,2,0.4356,0.8352,0.8313,0.8343,0.8325,0.8354
10,lb=3e-05_lc=1e-04_bs=32,S1,5,2,0.4654,0.8258,0.8246,0.8185,0.8207,0.8246
11,lb=3e-05_lc=1e-03_bs=16,S1,1,2,0.4614,0.8401,0.8395,0.8438,0.8381,0.8413
11,lb=3e-05_lc=1e-03_bs=16,S1,2,1,0.4712,0.8203,0.8175,0.8113,0.8092,0.8158
11,lb=3e-05_lc=1e-03_bs=16,S1,3,2,0.3944,0.8476,0.8449,0.842,0.8416,0.8458
11,lb=3e-05_lc=1e-03_bs=16,S1,4,2,0.4713,0.8211,0.8237,0.8272,0.8195,0.8217
11,lb=3e-05_lc=1e-03_bs=16,S1,5,2,0.5724,0.7994,0.8068,0.8062,0.7984,0.8018
12,lb=3e-05_lc=1e-03_bs=32,S1,1,1,0.3965,0.8401,0.8386,0.8415,0.8381,0.8417
12,lb=3e-05_lc=1e-03_bs=32,S1,2,2,0.3908,0.8448,0.8446,0.8452,0.8406,0.8453
12,lb=3e-05_lc=1e-03_bs=32,S1,3,2,0.3634,0.8627,0.8594,0.8639,0.8602,0.8636
12,lb=3e-05_lc=1e-03_bs=32,S1,4,1,0.4932,0.807,0.8171,0.8166,0.8053,0.8068
12,lb=3e-05_lc=1e-03_bs=32,S1,5,1,0.5371,0.774,0.7887,0.7749,0.7709,0.7775
